id,Name,Type,Total,Health Points,Attack,Defense,Special Attack,Special Defense,Speed,Generation,Type1,Type2
704,Goomy,Dragon,300,45,50,35,55,75,40,6,Dragon,None
705,Sliggoo,Dragon,452,68,75,53,83,113,60,6,Dragon,None
706,Goodra,Dragon,600,90,100,70,110,150,80,6,Dragon,None
707,Klefki,Steel Fairy,470,57,80,91,80,87,75,6,Steel,Fairy
708,Phantump,Ghost Grass,309,43,70,48,50,60,38,6,Ghost,Grass
709,Trevenant,Ghost Grass,474,85,110,76,65,82,56,6,Ghost,Grass
710,Pumpkaboo Average Size,Ghost Grass,335,49,66,70,44,55,51,6,Ghost,Grass
710,Pumpkaboo Small Size,Ghost Grass,335,44,66,70,44,55,56,6,Ghost,Grass
710,Pumpkaboo Large Size,Ghost Grass,335,54,66,70,44,55,46,6,Ghost,Grass
710,Pumpkaboo Super Size,Ghost Grass,335,59,66,70,44,55,41,6,Ghost,Grass
711,Gourgeist Average Size,Ghost Grass,494,65,90,122,58,75,84,6,Ghost,Grass
711,Gourgeist Small Size,Ghost Grass,494,55,85,122,58,75,99,6,Ghost,Grass
711,Gourgeist Large Size,Ghost Grass,494,75,95,122,58,75,69,6,Ghost,Grass
711,Gourgeist Super Size,Ghost Grass,494,85,100,122,58,75,54,6,Ghost,Grass
712,Bergmite,Ice,304,55,69,85,32,35,28,6,Ice,None
713,Avalugg,Ice,514,95,117,184,44,46,28,6,Ice,None
714,Noibat,Flying Dragon,245,40,30,35,45,40,55,6,Flying,Dragon
715,Noivern,Flying Dragon,535,85,70,80,97,80,123,6,Flying,Dragon
716,Xerneas,Fairy,680,126,131,95,131,98,99,6,Fairy,None
717,Yveltal,Dark Flying,680,126,131,95,131,98,99,6,Dark,Flying
718,Zygarde,Dragon Ground,600,108,100,121,81,95,95,6,Dragon,Ground
719,Diancie,Rock Fairy,600,50,100,150,100,150,50,6,Rock,Fairy
720,Hoopa,Psychic Ghost,600,80,110,60,150,130,70,6,Psychic,Ghost
721,Volcanion,Fire Water,600,80,110,120,130,90,70,6,Fire,Water
